Symptom1,Symptom2,Symptom3,Disease
Anxiety,Wheezing,Hearing loss,Rabies_991152
Insomnia,Palpitations,Chest pain,Thalassemia_783927
Cough,Wheezing,Anxiety,Syphilis_962313
Constipation,Jaundice,Tremors,Syphilis_499691
Night sweats,Fatigue,Dry mouth,Migraine_289997
Insomnia,Headache,Palpitations,Pneumonia_5897
Dry mouth,Depression,Constipation,Malaria_87269
Chest pain,Tremors,Nausea,Ulcerative Colitis_756375
Vomiting,Dizziness,Shortness of breath,Scabies_764373
Wheezing,Sore throat,Insomnia,Typhoid_701510
Sneezing,Shortness of breath,Fever,Tuberculosis_880444
Back pain,Dry mouth,Sore throat,COVID-19_698101
Runny nose,Nausea,Abdominal pain,Tonsillitis_249776
Fatigue,Night sweats,Wheezing,Multiple Sclerosis_303818
Fever,Sore throat,Muscle pain,Celiac Disease_690109
Chest pain,Diarrhea,Sneezing,Leprosy_930195
Diarrhea,Night sweats,Depression,Vertigo_950957
Sweating,Nausea,Night sweats,Chickenpox_566915
Chills,Abdominal pain,Chest pain,Depression_879679
Hearing loss,Shortness of breath,Muscle pain,Gonorrhea_549311
Depression,Constipation,Itchy skin,Lupus_704244
Nausea,Chills,Tingling,Mononucleosis_779733
Weight loss,Palpitations,Hearing loss,Hepatitis A_527494
Dry mouth,Depression,Muscle pain,UTI_457790
Tremors,Chills,Blurred vision,Pneumonia_10957
Tingling,Diarrhea,Wheezing,Psoriasis_917137
Sneezing,Wheezing,Swollen glands,Psoriasis_426363
Sweating,Palpitations,Itchy skin,Mononucleosis_988343
Tingling,Chills,Dry mouth,Cholera_339775
Jaundice,Chest pain,Diarrhea,Zika Virus_697084
Palpitations,Chest pain,Muscle pain,Pneumonia_296341
Shortness of breath,Muscle pain,Rash,Lupus_758938
Swollen glands,Sore throat,Anxiety,Celiac Disease_576351
Jaundice,Itchy skin,Sweating,Multiple Sclerosis_777066
Dizziness,Sweating,Itchy skin,Malaria_241875
Headache,Runny nose,Weight loss,Arthritis_105631
Abdominal pain,Wheezing,Chest pain,Tonsillitis_252766
Dizziness,Tremors,Fever,COVID-19_983071
Anxiety,Chest pain,Fatigue,Jaundice_168296
Muscle pain,Fever,Jaundice,Epilepsy_899920
Fatigue,Swollen glands,Chills,Glaucoma_966898
Palpitations,Fatigue,Runny nose,Malaria_766183
Dizziness,Weight loss,Abdominal pain,Syphilis_831857
Runny nose,Jaundice,Nausea,Scabies_341127
Diarrhea,Sneezing,Red eyes,Typhoid_696680
Red eyes,Headache,Hair loss,Mononucleosis_33613
Hair loss,Diarrhea,Itchy skin,Diabetes_372325
Tingling,Rash,Abdominal pain,Anemia_180334
Shortness of breath,Jaundice,Swollen glands,Rabies_458564
Wheezing,Weight loss,Night sweats,Zika Virus_443026
Red eyes,Fever,Dizziness,Mononucleosis_183389
Constipation,Jaundice,Chills,Syphilis_850717
Fever,Joint pain,Shortness of breath,Arthritis_585319
Palpitations,Tremors,Dry mouth,Hypertension_898888
Muscle pain,Weight loss,Constipation,Multiple Sclerosis_29244
Tingling,Nausea,Joint pain,Leprosy_921455
Tremors,Blurred vision,Depression,Migraine_270861
Red eyes,Loss of appetite,Wheezing,Ulcerative Colitis_95493
Abdominal pain,Itchy skin,Chest pain,Thalassemia_770081
Nausea,Loss of appetite,Constipation,Sinusitis_463580
Depression,Fatigue,Rash,Ulcerative Colitis_566027
Sweating,Hearing loss,Sneezing,Diabetes_274759
Night sweats,Shortness of breath,Nausea,Tetanus_948238
Muscle pain,Night sweats,Headache,Typhoid_570824
Back pain,Chest pain,Wheezing,Epilepsy_104166
Abdominal pain,Diarrhea,Night sweats,Rabies_287536
Vomiting,Weight loss,Palpitations,Tetanus_856514
Rash,Fatigue,Diarrhea,Hepatitis B_456991
Wheezing,Shortness of breath,Muscle pain,Thalassemia_178843
Dry mouth,Red eyes,Anxiety,Cholera_904425
Hair loss,Back pain,Headache,Malaria_318327
Weight loss,Chest pain,Constipation,Psoriasis_783415
Back pain,Red eyes,Constipation,Diabetes_741061
Blurred vision,Rash,Hearing loss,Hepatitis B_349581
Insomnia,Sneezing,Night sweats,Diabetes_638159
Back pain,Chest pain,Blurred vision,Syphilis_663221
Dizziness,Sweating,Nausea,Depression_102877
Swollen glands,Dry mouth,Fatigue,Zika Virus_641884
Abdominal pain,Palpitations,Wheezing,Rabies_978870
Headache,Fever,Cough,Hepatitis A_311110
Fever,Depression,Shortness of breath,Dengue_553020
Night sweats,Red eyes,Chest pain,Multiple Sclerosis_471304
Dizziness,Tingling,Fever,Influenza_413592
Swollen glands,Weight loss,Dizziness,Anemia_797332
Insomnia,Hearing loss,Back pain,Multiple Sclerosis_77820
Anxiety,Muscle pain,Back pain,Influenza_454900
Tingling,Jaundice,Depression,Typhoid_233414
Abdominal pain,Swollen glands,Tingling,Meningitis_794038
Vomiting,Rash,Abdominal pain,Sinusitis_883744
Blurred vision,Hearing loss,Night sweats,COVID-19_68269
Headache,Weight loss,Blurred vision,Tonsillitis_290394
Abdominal pain,Itchy skin,Vomiting,Scabies_841423
Chills,Runny nose,Chest pain,Glaucoma_172616
Insomnia,Vomiting,Red eyes,Hepatitis B_844219
Muscle pain,Cough,Back pain,Asthma_621463
Muscle pain,Rash,Red eyes,Syphilis_942533
Sore throat,Tremors,Cough,Celiac Disease_39071
Chest pain,Wheezing,Palpitations,Gastroenteritis_980789
Night sweats,Swollen glands,Jaundice,Chikungunya_886668
Insomnia,Hearing loss,Fever,UTI_579368
Swollen glands,Tremors,Headache,Multiple Sclerosis_459942
Tingling,Loss of appetite,Constipation,Ulcerative Colitis_16557
Depression,Anxiety,Tingling,Meningitis_726694
Headache,Cough,Hair loss,Arthritis_825439
Diarrhea,Blurred vision,Nausea,Vertigo_972531
Chills,Weight loss,Tremors,Psoriasis_685711
Anxiety,Night sweats,Red eyes,UTI_517820
Hearing loss,Anxiety,Red eyes,Sinusitis_157910
Nausea,Joint pain,Chest pain,COVID-19_467135
Constipation,Nausea,Itchy skin,COVID-19_897557
Shortness of breath,Tingling,Constipation,Bronchitis_293726
Nausea,Wheezing,Swollen glands,Multiple Sclerosis_903290
Tingling,Chest pain,Sore throat,Typhoid_632602
Constipation,Chest pain,Fever,Asthma_742397
Dry mouth,Back pain,Sneezing,Malaria_116525
Back pain,Headache,Hair loss,Hepatitis B_975687
Fever,Fatigue,Jaundice,HIV/AIDS_74776
Anxiety,Nausea,Diarrhea,Diabetes_803069
Blurred vision,Depression,Dry mouth,Bronchitis_97490
Weight loss,Swollen glands,Dry mouth,Conjunctivitis_280022
Anxiety,Hearing loss,Nausea,Scabies_872933
Night sweats,Sweating,Sneezing,Hepatitis B_548715
Dry mouth,Fatigue,Dizziness,Gastroenteritis_224825
Fever,Sweating,Dry mouth,Glaucoma_253346
Insomnia,Depression,Sneezing,Meningitis_498534
Blurred vision,Chills,Sore throat,Migraine_592263
Tingling,Cough,Rash,Chickenpox_288017
Itchy skin,Diarrhea,Runny nose,Cholera_297363
Shortness of breath,Rash,Muscle pain,HIV/AIDS_756450
Muscle pain,Fever,Joint pain,Epilepsy_291340
Night sweats,Blurred vision,Jaundice,Hepatitis A_112896
Back pain,Joint pain,Night sweats,Jaundice_145894
Muscle pain,Back pain,Abdominal pain,Rabies_893494
Muscle pain,Weight loss,Tremors,Thalassemia_478901
Chills,Muscle pain,Depression,Conjunctivitis_889430
Runny nose,Sore throat,Itchy skin,Migraine_153285
Hearing loss,Hair loss,Tremors,COVID-19_769723
Swollen glands,Insomnia,Chills,Psoriasis_925739
Runny nose,Chills,Weight loss,Syphilis_267483
Fever,Night sweats,Blurred vision,Hepatitis B_63231
Cough,Loss of appetite,Dizziness,Meningitis_33704
Chills,Palpitations,Back pain,Hepatitis A_964586
Rash,Shortness of breath,Weight loss,Meningitis_505434
Blurred vision,Chest pain,Nausea,Hypertension_239846
Red eyes,Wheezing,Shortness of breath,Dengue_910900
Dizziness,Hair loss,Night sweats,Malaria_281067
Constipation,Depression,Cough,Asthma_979067
Diarrhea,Insomnia,Muscle pain,Pneumonia_167403
Muscle pain,Wheezing,Fatigue,Anemia_720926
Loss of appetite,Dry mouth,Insomnia,Rabies_968796
Sweating,Constipation,Dizziness,Vertigo_460965
Dry mouth,Fever,Rash,Dengue_805192
Shortness of breath,Rash,Depression,Leprosy_105231
Night sweats,Jaundice,Back pain,Celiac Disease_604319
Dizziness,Palpitations,Itchy skin,Depression_936719
Tingling,Insomnia,Nausea,Measles_295397
Shortness of breath,Red eyes,Vomiting,Gastroenteritis_59777
Sore throat,Wheezing,Cough,Glaucoma_779586
Swollen glands,Itchy skin,Night sweats,Psoriasis_68299
Red eyes,Fatigue,Muscle pain,Epilepsy_569456
Sweating,Chest pain,Itchy skin,Gonorrhea_711599
Sneezing,Headache,Night sweats,Hepatitis B_862573
Jaundice,Hair loss,Dizziness,Syphilis_110577
Tremors,Shortness of breath,Red eyes,Glaucoma_809394
Anxiety,Blurred vision,Sneezing,Depression_576999
Nausea,Shortness of breath,Tremors,Scabies_860099
Fatigue,Constipation,Hair loss,Glaucoma_342494
Sneezing,Palpitations,Swollen glands,Malaria_374125
Shortness of breath,Weight loss,Sweating,Thalassemia_504339
Tremors,Hair loss,Jaundice,Conjunctivitis_275514
Depression,Diarrhea,Constipation,Depression_553401
Red eyes,Blurred vision,Palpitations,Epilepsy_850470
Diarrhea,Night sweats,Runny nose,Conjunctivitis_605748
Sneezing,Chest pain,Cough,Dengue_258574
Loss of appetite,Fatigue,Depression,Leprosy_926791
Insomnia,Constipation,Rash,Zika Virus_180642
Sore throat,Abdominal pain,Back pain,Zika Virus_156676
Shortness of breath,Constipation,Insomnia,Arthritis_153563
Headache,Blurred vision,Red eyes,Scabies_794181
Runny nose,Sore throat,Joint pain,Hepatitis A_755884
Headache,Cough,Itchy skin,Epilepsy_881474
Dry mouth,Sweating,Anxiety,Syphilis_949755
Night sweats,Tingling,Insomnia,Leprosy_558193
Fever,Tremors,Cough,Conjunctivitis_826594
Vomiting,Dry mouth,Hearing loss,Diabetes_861305
Sore throat,Rash,Constipation,Thalassemia_348399
Insomnia,Sweating,Headache,Pneumonia_708087
Dry mouth,Shortness of breath,Dizziness,Asthma_773079
Palpitations,Nausea,Vomiting,Sinusitis_39966
Sore throat,Swollen glands,Jaundice,COVID-19_460465
Headache,Weight loss,Sneezing,Glaucoma_551840
Chest pain,Constipation,Fever,Gonorrhea_454827
Hearing loss,Sneezing,Insomnia,Epilepsy_42112
Constipation,Depression,Red eyes,Bronchitis_738868
Weight loss,Shortness of breath,Sweating,Influenza_568842
Dizziness,Cough,Blurred vision,Chikungunya_77942
Swollen glands,Back pain,Tremors,HIV/AIDS_865654
Hearing loss,Sore throat,Blurred vision,Measles_944411
Red eyes,Hair loss,Runny nose,Hepatitis B_746515
Insomnia,Loss of appetite,Fever,Gastroenteritis_73899
Muscle pain,Hair loss,Shortness of breath,Vertigo_275447
Jaundice,Muscle pain,Sneezing,Asthma_289205
Swollen glands,Constipation,Itchy skin,Gonorrhea_49521
Chest pain,Vomiting,Back pain,Glaucoma_785566
Tingling,Hair loss,Sore throat,Typhoid_242706
Red eyes,Blurred vision,Rash,Mononucleosis_346689
Anxiety,Wheezing,Nausea,Multiple Sclerosis_405524
Palpitations,Red eyes,Loss of appetite,Scabies_532671
Tremors,Night sweats,Vomiting,Anemia_488856
Red eyes,Diarrhea,Weight loss,Vertigo_203227
Cough,Depression,Rash,Diabetes_162795
Depression,Diarrhea,Shortness of breath,Tonsillitis_748048
Loss of appetite,Night sweats,Palpitations,Gonorrhea_881109
Abdominal pain,Fever,Diarrhea,Cholera_199153
Depression,Vomiting,Diarrhea,Chikungunya_305412
Sneezing,Chest pain,Constipation,Chickenpox_491843
Abdominal pain,Weight loss,Cough,Gastroenteritis_865329
Headache,Hearing loss,Weight loss,Rabies_713910
Cough,Night sweats,Muscle pain,Depression_154259
Cough,Night sweats,Rash,Gastroenteritis_604187
Sweating,Dizziness,Depression,Scabies_434507
Tremors,Fever,Sore throat,Chikungunya_682750
Red eyes,Night sweats,Swollen glands,Tetanus_242736
Runny nose,Abdominal pain,Vomiting,Scabies_944417
Sweating,Chills,Nausea,Leprosy_639015
Dizziness,Cough,Fatigue,Jaundice_234904
Sneezing,Runny nose,Loss of appetite,Multiple Sclerosis_231552
Fever,Red eyes,Blurred vision,Chickenpox_67447
Tingling,Chills,Loss of appetite,Glaucoma_454780
Anxiety,Tingling,Insomnia,Ulcerative Colitis_137445
Blurred vision,Fever,Loss of appetite,Sinusitis_823116
Wheezing,Rash,Muscle pain,Influenza_273338
Muscle pain,Palpitations,Vomiting,Multiple Sclerosis_463484
Sneezing,Cough,Dizziness,Meningitis_850480
Dizziness,Abdominal pain,Red eyes,Cholera_509377
Chills,Itchy skin,Diarrhea,Influenza_37174
Vomiting,Tremors,Sore throat,Scabies_490443
Jaundice,Rash,Palpitations,Depression_944769
Dry mouth,Jaundice,Constipation,Hypertension_844838
Hair loss,Cough,Insomnia,Thalassemia_707291
Diarrhea,Abdominal pain,Tremors,Scabies_632537
Tremors,Shortness of breath,Anxiety,Cholera_451877
Red eyes,Weight loss,Palpitations,Chickenpox_764991
Blurred vision,Fever,Itchy skin,Bronchitis_19152
Constipation,Sweating,Nausea,Rabies_488602
Wheezing,Sneezing,Fever,Conjunctivitis_105912
Weight loss,Vomiting,Night sweats,Scabies_661241
Night sweats,Shortness of breath,Nausea,Asthma_405263
Jaundice,Blurred vision,Tingling,Conjunctivitis_39718
Swollen glands,Jaundice,Vomiting,Chickenpox_122509
Palpitations,Tingling,Fatigue,Jaundice_995192
Chest pain,Tingling,Cough,Multiple Sclerosis_975142
Red eyes,Chest pain,Chills,Chikungunya_294694
Fatigue,Nausea,Blurred vision,Migraine_628051
Swollen glands,Constipation,Palpitations,Dengue_898940
Shortness of breath,Muscle pain,Blurred vision,Migraine_350349
Constipation,Muscle pain,Fever,Lupus_33932
Headache,Nausea,Dry mouth,Scabies_826933
Sore throat,Sweating,Loss of appetite,Measles_867729
Headache,Sweating,Nausea,Lupus_394618
Muscle pain,Cough,Palpitations,Dengue_312348
Depression,Weight loss,Abdominal pain,COVID-19_841851
Vomiting,Wheezing,Chills,Multiple Sclerosis_187116
Vomiting,Joint pain,Wheezing,HIV/AIDS_391670
Dry mouth,Runny nose,Nausea,Leprosy_793161
Abdominal pain,Dry mouth,Back pain,Hepatitis A_967254
Wheezing,Sore throat,Hair loss,Lupus_692008
Dizziness,Fever,Palpitations,Bronchitis_742410
Depression,Red eyes,Weight loss,Migraine_44357
Chills,Depression,Swollen glands,Tonsillitis_598778
Sneezing,Muscle pain,Hair loss,Gastroenteritis_4899
Anxiety,Tingling,Dry mouth,Hepatitis A_190958
Diarrhea,Back pain,Hearing loss,Meningitis_88858
Chills,Muscle pain,Swollen glands,Syphilis_958495
Red eyes,Hair loss,Wheezing,Lupus_551938
Jaundice,Joint pain,Sneezing,Scabies_499229
Insomnia,Weight loss,Wheezing,Mononucleosis_14063
Depression,Palpitations,Hearing loss,Epilepsy_708330
Cough,Blurred vision,Chills,Typhoid_345516
Palpitations,Rash,Back pain,Gonorrhea_158449
Chills,Muscle pain,Anxiety,Chikungunya_465768
Cough,Weight loss,Wheezing,Scabies_198389
Itchy skin,Dry mouth,Sneezing,Diabetes_139013
Red eyes,Abdominal pain,Shortness of breath,Arthritis_694799
Headache,Joint pain,Fever,Ulcerative Colitis_285519
Tingling,Hearing loss,Dizziness,Psoriasis_272447
Nausea,Red eyes,Tremors,Arthritis_615035
Dry mouth,Vomiting,Sweating,HIV/AIDS_809672
Blurred vision,Jaundice,Dizziness,Cholera_800097
Rash,Muscle pain,Fever,Migraine_70623
Back pain,Palpitations,Loss of appetite,Anemia_141786
Cough,Hearing loss,Constipation,Gastroenteritis_181861
Fatigue,Dry mouth,Weight loss,Sinusitis_753012
Dizziness,Jaundice,Nausea,Syphilis_476323
Anxiety,Hair loss,Sore throat,Multiple Sclerosis_90838
Swollen glands,Cough,Joint pain,Malaria_37037
Abdominal pain,Insomnia,Dry mouth,Psoriasis_82789
Night sweats,Tingling,Swollen glands,Gastroenteritis_952821
Hair loss,Dizziness,Tingling,Syphilis_907297
Dizziness,Sore throat,Swollen glands,Hepatitis A_965966
Dry mouth,Chills,Tingling,Epilepsy_436884
Blurred vision,Dizziness,Insomnia,Celiac Disease_472115
Dry mouth,Fever,Dizziness,Rabies_887008
Hair loss,Abdominal pain,Cough,Glaucoma_3382
Fatigue,Hair loss,Back pain,Jaundice_297096
Diarrhea,Jaundice,Sore throat,Arthritis_154437
Palpitations,Hearing loss,Chest pain,Ulcerative Colitis_121253
Depression,Dizziness,Hair loss,Tuberculosis_841574
Night sweats,Blurred vision,Itchy skin,COVID-19_937347
Loss of appetite,Night sweats,Anxiety,COVID-19_728875
Abdominal pain,Tingling,Wheezing,Diabetes_602693
Fatigue,Back pain,Depression,Glaucoma_527092
Nausea,Sweating,Joint pain,Dengue_818808
Diarrhea,Nausea,Tingling,HIV/AIDS_325660
Chills,Anxiety,Dry mouth,HIV/AIDS_238720
Sneezing,Rash,Palpitations,Psoriasis_807657
Wheezing,Palpitations,Anxiety,Gonorrhea_701617
Dizziness,Depression,Wheezing,Malaria_954599
Sore throat,Palpitations,Red eyes,Sinusitis_14436
Chills,Sweating,Fever,Pneumonia_322377
Chest pain,Tremors,Diarrhea,Leprosy_593153
Fatigue,Muscle pain,Vomiting,Sinusitis_985680
Night sweats,Sore throat,Joint pain,Jaundice_773242
Abdominal pain,Shortness of breath,Chills,Gastroenteritis_829955
Abdominal pain,Dizziness,Wheezing,Arthritis_810995
Muscle pain,Swollen glands,Itchy skin,Hepatitis B_661277
Itchy skin,Back pain,Dry mouth,Tonsillitis_222728
Fever,Abdominal pain,Constipation,Thalassemia_73089
Fever,Loss of appetite,Vomiting,Zika Virus_376694
Weight loss,Abdominal pain,Jaundice,Pneumonia_577171
Jaundice,Runny nose,Sweating,Asthma_557339
Rash,Swollen glands,Sore throat,Gastroenteritis_143221
Constipation,Blurred vision,Rash,Tonsillitis_105750
Itchy skin,Muscle pain,Abdominal pain,Depression_198649
Fatigue,Anxiety,Back pain,Rabies_943634
Constipation,Headache,Fatigue,Hypertension_737428
Weight loss,Sneezing,Chills,Gonorrhea_199665
Blurred vision,Joint pain,Vomiting,Epilepsy_107984
Diarrhea,Back pain,Muscle pain,Mononucleosis_963871
Sweating,Depression,Dry mouth,COVID-19_625421
Night sweats,Weight loss,Insomnia,Rabies_311134
Headache,Hair loss,Back pain,Syphilis_662209
Headache,Shortness of breath,Anxiety,Vertigo_776755
Hearing loss,Red eyes,Nausea,Chickenpox_718531
Palpitations,Vomiting,Depression,Scabies_655675
Red eyes,Weight loss,Nausea,Cholera_340649
Vomiting,Tingling,Sore throat,Zika Virus_626428
Fever,Headache,Weight loss,Rabies_320426
Red eyes,Back pain,Chills,Jaundice_675216
Vomiting,Back pain,Muscle pain,Typhoid_485034
Diarrhea,Shortness of breath,Tremors,Epilepsy_808334
Fever,Red eyes,Chest pain,Anemia_83642
Back pain,Palpitations,Loss of appetite,Thalassemia_143101
Chest pain,Cough,Headache,Conjunctivitis_119620
Tremors,Anxiety,Palpitations,Measles_282103
Depression,Swollen glands,Muscle pain,Hypertension_24612
Headache,Constipation,Weight loss,Hypertension_40666
Fever,Wheezing,Sneezing,Gastroenteritis_828391
Nausea,Headache,Night sweats,Gonorrhea_903419
Weight loss,Joint pain,Night sweats,Meningitis_667814
Itchy skin,Back pain,Depression,Lupus_451290
Fatigue,Insomnia,Blurred vision,Chikungunya_542726
Sore throat,Constipation,Insomnia,Vertigo_834071
Dry mouth,Insomnia,Hair loss,HIV/AIDS_383252
Jaundice,Fatigue,Wheezing,Hepatitis A_625612
Runny nose,Dizziness,Joint pain,Hepatitis B_834237
Depression,Palpitations,Insomnia,Epilepsy_563752
Night sweats,Red eyes,Joint pain,Mononucleosis_187299
Abdominal pain,Blurred vision,Jaundice,Diabetes_973913
Fatigue,Back pain,Sore throat,Lupus_26066
Itchy skin,Dry mouth,Vomiting,Jaundice_804614
Hair loss,Nausea,Shortness of breath,Rabies_29522
Palpitations,Blurred vision,Hair loss,Hepatitis A_32902
Dry mouth,Cough,Rash,Dengue_346020
Fever,Vomiting,Back pain,Hepatitis A_223894
Dry mouth,Sweating,Red eyes,Influenza_889646
Chills,Dizziness,Tingling,Tetanus_517540
Fever,Sneezing,Tingling,Jaundice_967546
Palpitations,Swollen glands,Insomnia,UTI_168312
Fever,Runny nose,Itchy skin,Sinusitis_53030
Sneezing,Itchy skin,Joint pain,Vertigo_968115
Runny nose,Dizziness,Red eyes,Lupus_260298
Anxiety,Sneezing,Tingling,Asthma_24567
Shortness of breath,Red eyes,Jaundice,Migraine_240501
Jaundice,Night sweats,Rash,Thalassemia_273925
Vomiting,Joint pain,Sweating,Bronchitis_856398
Depression,Tingling,Rash,Hepatitis A_241374
Hearing loss,Muscle pain,Constipation,Epilepsy_784552
Insomnia,Shortness of breath,Loss of appetite,Tuberculosis_546714
Rash,Night sweats,Loss of appetite,Tonsillitis_214724
Blurred vision,Tingling,Diarrhea,Anemia_941680
Anxiety,Sore throat,Hair loss,Measles_84717
Diarrhea,Nausea,Tremors,Influenza_257054
Back pain,Wheezing,Itchy skin,Malaria_90305
Hearing loss,Insomnia,Anxiety,Leprosy_844359
Muscle pain,Sore throat,Jaundice,Chickenpox_606199
Sweating,Fever,Vomiting,Hepatitis A_409504
Headache,Night sweats,Swollen glands,Conjunctivitis_35716
Abdominal pain,Dizziness,Blurred vision,Pneumonia_394413
Sore throat,Depression,Rash,Leprosy_766297
Hearing loss,Blurred vision,Sweating,HIV/AIDS_215260
Anxiety,Blurred vision,Rash,Tonsillitis_188182
Abdominal pain,Fever,Loss of appetite,Pneumonia_610061
Jaundice,Chills,Anxiety,Diabetes_540317
Abdominal pain,Hearing loss,Weight loss,Thalassemia_660141
Nausea,Diarrhea,Jaundice,Tetanus_482580
Chest pain,Weight loss,Muscle pain,Dengue_817658
Itchy skin,Red eyes,Sore throat,Lupus_873064
Insomnia,Cough,Muscle pain,Ulcerative Colitis_805595
Loss of appetite,Tingling,Sweating,Hepatitis B_793849
Depression,Loss of appetite,Headache,Jaundice_465962
